ENSEMBLE_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name,Fold_Change
ENSMUSG00000041831.15,1577.229872,0.4922692013,0.06499819015,7.573583205,3.63E-14,1.95E-12,Sytl3,1.406655652
ENSMUSG00000028128.13,66992.03741,0.4917213392,0.04221591347,11.6477721,2.36E-31,1.68E-28,F3,1.406121577
ENSMUSG00000029322.12,40899.39763,0.4916361436,0.06794556252,7.235735866,4.63E-13,2.16E-11,Plac8,1.406038544
ENSMUSG00000041592.16,319.9551821,0.4916124827,0.09712563697,5.061613988,4.16E-07,6.51E-06,Sdk2,1.406015484
ENSMUSG00000035594.10,3.756277796,0.4914377298,0.09147237169,5.372526378,7.76E-08,NA,Chrna5,1.405845185
ENSMUSG00000044824.7,32.474721,0.4912401731,0.151930793,3.233315403,0.001223623871,0.007432814465,Olfr545,1.405652687
ENSMUSG00000028132.15,499.1553873,0.4905113104,0.08057969976,6.087281434,1.15E-09,3.07E-08,Tmem56,1.404942718
ENSMUSG00000034858.16,4243.340209,0.4899576589,0.05334324614,9.184998934,4.12E-20,5.15E-18,Fam214a,1.404403658
ENSMUSG00000028967.10,14929.27823,0.4893573053,0.05600204294,8.738204529,2.37E-18,2.39E-16,Errfi1,1.40381936
ENSMUSG00000107428.1,46.30062527,0.4893127678,0.1517146073,3.225218563,0.001258765305,0.007611004008,Gm44154,1.403776023
ENSMUSG00000043587.15,5887.88049,0.4878276618,0.04837160659,10.08500019,6.44E-24,1.42E-21,Pxylp1,1.402331724
ENSMUSG00000028980.14,6877.793419,0.4870207177,0.06157098963,7.909905632,2.58E-15,1.66E-13,H6pd,1.401547576
ENSMUSG00000028862.6,16102.03191,0.4862845817,0.05051386821,9.626753978,6.16E-22,1.03E-19,Map3k6,1.400832618
ENSMUSG00000037664.13,2011.282688,0.4848238812,0.09493477223,5.106915725,3.27E-07,5.25E-06,Cdkn1c,1.39941502
