From	To	Species	Gene Name
ASPSCR1	ENSMUST00000168510	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000171700	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000168097	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000106160	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000168947	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000168714	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000026135	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000167678	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000135346	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000169964	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000106159	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000152990	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000106158	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000166838	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000172392	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000143844	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
ASPSCR1	ENSMUST00000151160	Mus musculus	alveolar soft part sarcoma chromosome region, candidate 1 (human)(Aspscr1)
EPHX3	ENSMUST00000162117	Mus musculus	epoxide hydrolase 3(Ephx3)
EPHX3	ENSMUST00000087721	Mus musculus	epoxide hydrolase 3(Ephx3)
TDRD7	ENSMUST00000151422	Mus musculus	tudor domain containing 7(Tdrd7)
TDRD7	ENSMUST00000102929	Mus musculus	tudor domain containing 7(Tdrd7)
TDRD7	ENSMUST00000107777	Mus musculus	tudor domain containing 7(Tdrd7)
TDRD7	ENSMUST00000140270	Mus musculus	tudor domain containing 7(Tdrd7)
TDRD7	ENSMUST00000155936	Mus musculus	tudor domain containing 7(Tdrd7)
ESR1	ENSMUST00000137012	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000105590	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000127145	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000133985	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000138828	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000067086	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000105588	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000127934	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000105589	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
ESR1	ENSMUST00000149195	Mus musculus	estrogen receptor 1 (alpha)(Esr1)
NMRAL1	ENSMUST00000115851	Mus musculus	NmrA-like family domain containing 1(Nmral1)
NMRAL1	ENSMUST00000120056	Mus musculus	NmrA-like family domain containing 1(Nmral1)
NMRAL1	ENSMUST00000079130	Mus musculus	NmrA-like family domain containing 1(Nmral1)
NMRAL1	ENSMUST00000125140	Mus musculus	NmrA-like family domain containing 1(Nmral1)
NMRAL1	ENSMUST00000074970	Mus musculus	NmrA-like family domain containing 1(Nmral1)
NMRAL1	ENSMUST00000124977	Mus musculus	NmrA-like family domain containing 1(Nmral1)
ARHGAP24	ENSMUST00000094559	Mus musculus	Rho GTPase activating protein 24(Arhgap24)
ARHGAP24	ENSMUST00000126125	Mus musculus	Rho GTPase activating protein 24(Arhgap24)
ARHGAP24	ENSMUST00000070000	Mus musculus	Rho GTPase activating protein 24(Arhgap24)
ARHGAP24	ENSMUST00000130222	Mus musculus	Rho GTPase activating protein 24(Arhgap24)
ARHGAP24	ENSMUST00000073302	Mus musculus	Rho GTPase activating protein 24(Arhgap24)
ARHGAP24	ENSMUST00000112853	Mus musculus	Rho GTPase activating protein 24(Arhgap24)
ARHGAP24	ENSMUST00000112852	Mus musculus	Rho GTPase activating protein 24(Arhgap24)
ARHGAP24	ENSMUST00000112854	Mus musculus	Rho GTPase activating protein 24(Arhgap24)
ARHGAP23	ENSMUST00000093940	Mus musculus	Rho GTPase activating protein 23(Arhgap23)
ARHGAP23	ENSMUST00000142465	Mus musculus	Rho GTPase activating protein 23(Arhgap23)
